date,code,open,high,low,close,preclose,volume,amount,adjustflag,turnover,tradestatus,pctChg,isST
2022-01-04,sh.600000,8.54,8.58,8.52,8.57,8.53,37707647,322145532.4,3,0.1285,1,0.4689,0
2022-01-05,sh.600000,8.57,8.68,8.56,8.64,8.57,55459135,478834469.92,3,0.1889,1,0.8168,0
2022-01-06,sh.600000,8.66,8.66,8.56,8.57,8.64,41031062,352720657.09,3,0.1398,1,-0.8102,0
2022-01-07,sh.600000,8.57,8.73,8.57,8.71,8.57,63018297,546456194.37,3,0.2147,1,1.6336,0
2022-01-10,sh.600000,8.72,8.78,8.66,8.72,8.71,34055312,296601230.41,3,0.116,1,0.1148,0
2022-01-11,sh.600000,8.74,8.78,8.69,8.73,8.72,42646106,373093383.74,3,0.1453,1,0.1147,0
2022-01-12,sh.600000,8.75,8.75,8.63,8.69,8.73,41240670,358535694.14,3,0.1405,1,-0.4582,0
2022-01-13,sh.600000,8.73,8.85,8.69,8.72,8.69,48923692,429003208.44,3,0.1667,1,0.3452,0
2022-01-14,sh.600000,8.72,8.72,8.57,8.59,8.72,51060652,440215953.72,3,0.174,1,-1.4908,0
2022-01-17,sh.600000,8.57,8.63,8.57,8.57,8.59,22177975,190459847.06,3,0.0756,1,-0.2328,0
2022-01-18,sh.600000,8.58,8.66,8.55,8.63,8.57,39995195,344181260.49,3,0.1363,1,0.7001,0
2022-01-19,sh.600000,8.63,8.66,8.61,8.64,8.63,26257662,226931296.83,3,0.0895,1,0.1159,0
2022-01-20,sh.600000,8.66,8.82,8.64,8.8,8.64,82842044,724160482.59,3,0.2822,1,1.8519,0
2022-01-21,sh.600000,8.78,8.8,8.72,8.76,8.8,47572539,416684184.3,3,0.1621,1,-0.4545,0
2022-01-24,sh.600000,8.79,8.79,8.66,8.69,8.76,32489722,282465419.05,3,0.1107,1,-0.7991,0
2022-01-25,sh.600000,8.68,8.68,8.56,8.56,8.69,43312412,372488758.88,3,0.1476,1,-1.496,0
2022-01-26,sh.600000,8.57,8.59,8.54,8.57,8.56,23481959,201130974.27,3,0.08,1,0.1168,0
2022-01-27,sh.600000,8.55,8.56,8.45,8.45,8.57,56281031,477716811.34,3,0.1917,1,-1.4002,0
2022-01-28,sh.600000,8.48,8.51,8.41,8.41,8.45,43993766,372256637.07,3,0.1499,1,-0.4734,0
2022-02-07,sh.600000,8.48,8.55,8.44,8.52,8.41,39988312,340086709.11,3,0.1362,1,1.308,0
2022-02-08,sh.600000,8.53,8.67,8.51,8.65,8.52,47572520,409206610.69,3,0.1621,1,1.5258,0
2022-02-09,sh.600000,8.64,8.71,8.62,8.64,8.65,36223235,313861238.67,3,0.1234,1,-0.1156,0
2022-02-10,sh.600000,8.66,8.71,8.62,8.69,8.64,28716174,249045193.55,3,0.0978,1,0.5787,0
2022-02-11,sh.600000,8.7,8.76,8.67,8.74,8.69,37682874,328719166.09,3,0.1284,1,0.5754,0
2022-02-14,sh.600000,8.69,8.71,8.58,8.6,8.74,34727078,299136397.92,3,0.1183,1,-1.6018,0
2022-02-15,sh.600000,8.59,8.63,8.52,8.55,8.6,31680750,271300746.95,3,0.1079,1,-0.5814,0
2022-02-16,sh.600000,8.58,8.64,8.56,8.59,8.55,28609574,246064337.02,3,0.0975,1,0.4678,0
2022-02-17,sh.600000,8.6,8.63,8.56,8.56,8.59,24533221,210822959.41,3,0.0836,1,-0.3492,0
2022-02-18,sh.600000,8.55,8.67,8.53,8.67,8.56,34384620,296119868.38,3,0.1171,1,1.285,0
2022-02-21,sh.600000,8.64,8.64,8.55,8.6,8.67,24334270,208998929.56,3,0.0829,1,-0.8074,0
2022-02-22,sh.600000,8.57,8.59,8.53,8.58,8.6,32497174,278140362.19,3,0.1107,1,-0.2326,0
2022-02-23,sh.600000,8.59,8.59,8.53,8.54,8.58,29476392,251902283.19,3,0.1004,1,-0.4662,0
2022-02-24,sh.600000,8.54,8.55,8.4,8.44,8.54,47703559,404232342.33,3,0.1625,1,-1.171,0
2022-02-25,sh.600000,8.44,8.48,8.41,8.43,8.44,32239910,272095573.85,3,0.1098,1,-0.1185,0
2022-02-28,sh.600000,8.44,8.45,8.36,8.39,8.43,23393262,196216444.0,3,0.0797,1,-0.4745,0
2022-03-01,sh.600000,8.39,8.46,8.39,8.44,8.39,23540305,198243687.0,3,0.0802,1,0.5959,0
2022-03-02,sh.600000,8.41,8.46,8.4,8.42,8.44,16708051,140817898.0,3,0.0569,1,-0.237,0
2022-03-03,sh.600000,8.44,8.5,8.43,8.46,8.42,19864647,167938715.0,3,0.0677,1,0.4751,0
2022-03-04,sh.600000,8.44,8.44,8.36,8.4,8.46,26395729,221531967.0,3,0.0899,1,-0.7092,0
2022-03-07,sh.600000,8.38,8.4,8.28,8.29,8.4,37177243,309677984.0,3,0.1267,1,-1.3095,0
2022-03-08,sh.600000,8.29,8.3,8.05,8.08,8.29,46688059,381542336.0,3,0.1591,1,-2.5332,0
2022-03-09,sh.600000,8.11,8.13,7.76,7.9,8.08,46035702,367319440.0,3,0.1568,1,-2.2277,0
2022-03-10,sh.600000,8.01,8.05,7.92,7.92,7.9,25181489,200622345.0,3,0.0858,1,0.2532,0
2022-03-11,sh.600000,7.89,8.02,7.77,8.01,7.92,33286005,262318143.0,3,0.1134,1,1.1364,0
